metric_name,display_name,description,derivable,computed_from
active_all_time,instrument movement duration,The total time the tip of this instrument type was in motion on any arm.,no,
active_any_ratio_ssc,console movement %,"The proportion of time either hand controller was in motion on this console, relative to the total duration.",no,
active_any_time_ssc,console movement duration,The total time either hand controller was in motion on this console.,no,
active_ratio,instrument movement % per arm,"The proportion of time the tip of this instrument type was in motion, relative to the total time this instrument type was installed on this arm.",no,
active_ratio_ssc,hand controller movement %,"The proportion of time this hand controller was in motion, relative to the total time either hand controller was in motion on this console.",no,
active_time,instrument movement duration per arm,The total time the tip of this instrument type was in motion on this arm.,no,
active_time_ssc,hand controller movement duration,The total time this hand controller was in motion on this console.,no,
angle,instrument angular path length per arm,The endowrist angular path length traveled by this instrument type on this arm.,no,
angle_all,instrument angular path length,The endowrist angular path length traveled by this intrument type on any arm.,no,
angle_total,total instrument angular path length,The total endowrist angular path length traveled by all instruments on all arms.,no,
arm_swap_cnt,arm swap attempts,The number of arm swaps performed on this console.,no,
arm_swap_freq,arm swap attempts rate,The rate of arm swaps performed on this console.,no,
arm_swap_freq2,arm swap attempts rate,The rate of arm swaps (while either hand controller was in motion) performed on this console.,no,
arm_swapped_cnt,arm swaps,The number of successful arm swaps performed on this console.,no,
arm_swapped_freq2,arm swaps rate,The rate of successful arm swaps (while either hand controller was in motion) performed on this console.,no,
cam_clutch_cnt,endoscope clutch count,The number of endoscope clutches performed on this console.,no,
cam_clutch_freq,endoscope clutch rate,The rate of endoscope clutches performed on this console.,no,
cam_clutch_freq2,endoscope clutch rate,The rate of endoscope clutches (while either hand controller was in motion) performed on this console.,no,
digital_arm_swapped_cnt,digital arm swaps,The number of successful arm swaps performed by digital interaction on this console.,no,
digital_arm_swapped_freq2,digital arm swaps rate,The rate of successful arm swaps performed (while either hand controller was in motion) by digital interaction on this console.,no,
duration,duration,"The total time spent to perform this case, phase, or step.",yes,"lab.metrics.step_metrics, column duration_s"
duration_armxtool,instrument install duration per arm,The total time this instrument type was installed on this arm.,yes,lab.metrics.install_durations
duration_tool,instrument install duration,The total time this instrument type was installed on any arm.,yes,lab.metrics.install_durations
energy_pedal_cnt,energy pedal count,The number of energy pedal presses initiated on this console.,no,
energy_pedal_dur,total energy pedal duration,The total time an energy pedal was pressed on this console.,no,
energy_pedal_freq,energy pedal rate,The rate of energy pedal presses initiated on this console.,no,
energy_pedal_freq2,energy pedal rate,The rate of energy pedal presses initiated (while either hand controller was in motion) on this console.,no,
energy_pedal_mean,average energy pedal duration,The average time an energy pedal was pressed on this console (per press).,no,
eom,instrument path length per arm,The path length traveled by the tip of this instrument type on this arm.,no,
eom_all,instrument path length,The path length traveled by the tip of this instrument type on any arm.,no,
eom_any_ratio_ssc,console path length %,"The proportion of the path length traveled by the hand controllers on this console, relative to the path length traveled by the hand controllers on either console.",no,
eom_any_ssc,console path length,The path length traveled by either hand controller on this console.,no,
eom_ratio_ssc,hand controller path length %,"The proportion of path length traveled by this hand controller, relative to the path length traveled by either hand controller on this console.",no,
eom_ssc,hand controller path length,The path length traveled by this hand controller.,no,
eom_total,total instrument path length,The path length traveled by all instrument tips on all arms.,no,
finger_clutch_cnt,hand controller clutch count,The number of finger clutches performed on either hand controller on this console.,no,
finger_clutch_freq,finger clutch rate,The rate of finger clutches performed on this console over the total duration.,no,
finger_clutch_freq2,finger clutch rate,The rate of finger clutches (while either hand controller was in motion) performed on this console.,no,
force_dur,instrument force duration below 6.5N per arm,The time duration for a haptic instrument that applies force below 6.5 N for an arm.,no,
force_dur_all,instrument force duration below 6.5N,The time duration for a haptic instrument that applies force below 6.5N for any arm on an instrument type.,no,
force_dur_all_medium,instrument force duration below 6.5N - FFB medium,The time duration for a haptic instrument that applies force below 6.5N for any arm on an instrument type with haptic setting medium.,no,
force_dur_all_off,instrument force duration below 6.5N - FFB off,The time duration for a haptic instrument that applies force below 6.5N for any arm on an instrument type with haptic setting off.,no,
force_dur_medium,instrument force duration below 6.5N per arm - FFB medium,The time duration for a haptic instrument that applies force below 6.5 N for an arm with haptic setting medium.,no,
force_dur_off,instrument force duration below 6.5N per arm - FFB off,The time duration for a haptic instrument that applies force below 6.5 N for an arm with haptic setting off.,no,
force_dur_whole,instrument force duration per arm,The time duration for a haptic instrument that applies force for an arm.,no,
force_dur_whole_all,instrument force duration,The time duration for a haptic instrument that applies force for any arm on an instrument type.,no,
force_dur_whole_all_high,instrument force duration - FFB high,The time duration for a haptic instrument that applies force for any arm on an instrument type with haptic setting high.,no,
force_dur_whole_all_low,instrument force duration - FFB low,The time duration for a haptic instrument that applies force for any arm on an instrument type with haptic setting low.,no,
force_dur_whole_all_medium,instrument force duration - FFB medium,The time duration for a haptic instrument that applies force for any arm on an instrument type with haptic setting medium.,no,
force_dur_whole_all_off,instrument force duration - FFB off,The time duration for a haptic instrument that applies force for any arm on an instrument type with haptic setting off.,no,
force_dur_whole_high,instrument force duration per arm - FFB high,The time duration for a haptic instrument that applies force for an arm with haptic setting high.,no,
force_dur_whole_low,instrument force duration per arm - FFB low,The time duration for a haptic instrument that applies force for an arm with haptic setting low.,no,
force_dur_whole_medium,instrument force duration per arm - FFB medium,The time duration for a haptic instrument that applies force for an arm with haptic setting medium.,no,
force_dur_whole_off,instrument force duration per arm - FFB off,The time duration for a haptic instrument that applies force for an arm with haptic setting off.,no,
force_max,force max instrument,The maximum detected force for an instrument install on an arm.,no,
force_max_all,maximum force,The maximum detected force for an instrument.,no,
force_max_all_medium,maximum force - FFB medium,The maximum detected force for an instrument with haptic setting medium.,no,
force_max_all_off,maximum force - FFB off,The maximum detected force for an instrument with haptic setting off.,no,
force_max_medium,force max instrument - FFB medium,The maximum detected force for an instrument install on an arm with haptic setting medium.,no,
force_max_off,force max instrument - FFB off,The maximum detected force for an instrument install on an arm with haptic setting off.,no,
force_max_total,force max total,The maximum force sensed on all instruments.,no,
force_max_total_medium,force max total - FFB medium,The maximum force sensed on all instruments with haptic setting medium.,no,
force_max_total_off,force max total - FFB off,The maximum force sensed on all instruments with haptic setting off.,no,
force_mean,force average instrument,The average detected force for an instrument install on an arm.,no,
force_mean_all,average force,The average detected force for an instrument.,no,
force_mean_all_medium,average force - FFB medium,The average detected force for an instrument below 6.5 N with haptic setting medium.,no,
force_mean_all_off,average force - FFB off,The average detected force for an instrument below 6.5 N with haptic setting off.,no,
force_mean_medium,force average instrument - FFB medium,The average detected force for an instrument install on an arm below 6.5 N with haptic setting medium.,no,
force_mean_off,force average instrument - FFB off,The average detected force for an instrument install on an arm below 6.5 N with haptic setting off.,no,
force_mean_total,force average total,The average force sensed on all instruments.,no,
force_mean_total_medium,force average total - FFB medium,The average force sensed on all instruments below 6.5 N with haptic setting medium.,no,
force_mean_total_off,force average total - FFB off,The average force sensed on all instruments below 6.5 N with haptic setting off.,no,
hand_clutch_cnt,hand controller clutch count,The number of hand controller clutches performed on this console.,no,
hand_clutch_freq,hand controller clutch rate,The rate of hand controller clutches performed on this console.,no,
hand_clutch_freq2,hand controller clutch rate,The rate of hand controller clutches (while either hand controller was in motion) performed on this console.,no,
head_out_cnt,head out count,The number of head out events on this console.,no,
head_out_freq,head out rate,The rate of head out events on this console.,no,
head_out_freq2,head out rate,The rate of head out events (while either hand controller was in motion) on this console.,no,
high_force_dur,instrument force duration above 6.5N per arm,The time duration for a haptic instrument that applies force above 6.5 N for an arm.,no,
high_force_dur_medium,instrument force duration above 6.5N per arm - FFB medium,The time duration for a haptic instrument that applies force above 6.5 N for an arm with haptic setting medium.,no,
high_force_dur_off,instrument force duration above 6.5N per arm - FFB off,The time duration for a haptic instrument that applies force above 6.5 N for an arm with haptic setting off.,no,
high_force_percentage,time above 6.5N instrument,The percentage of time with force applied above 6.5 N for an instrument install on an arm.,no,
high_force_percentage_all,time above 6.5N,The percentage of time with force applied above 6.5 N for an instrument.,no,
high_force_percentage_all_medium,time above 6.5N - FFB medium,The Percentage of time with force applied above 6.5 N for an instrument with haptic setting medium.,no,
